date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:37	55/55	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Jun%202018%2003:41:29%20GMT	https://helloweatherapp.com/robots.txt		(from )
23:14:38	22903/22903	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2017:44:38%20GMT	https://helloweatherapp.com/	C:/My%20Web%20Sites/hello%20weather/helloweatherapp.com/index.html	(from )
23:14:38	28632/28632	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20May%202018%2020:07:21%20GMT	https://dmeliy86w2nwr.cloudfront.net/assets/marketing-0f5817f2eedbb6c7b359f538710c4ddcc5fd22b9faec45c3bf3fdd341ac0e3fd.css	C:/My%20Web%20Sites/hello%20weather/dmeliy86w2nwr.cloudfront.net/assets/marketing-0f5817f2eedbb6c7b359f538710c4ddcc5fd22b9faec45c3bf3fdd341ac0e3fd.css	(from https://helloweatherapp.com/)
23:14:38	133169/133169	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2015%20Apr%202018%2003:31:39%20GMT	https://dmeliy86w2nwr.cloudfront.net/assets/marketing-26c3fbfd03ebe116a16e72d14b8bcde137f47f9ff191c157d2b4287ff4820aad.js	C:/My%20Web%20Sites/hello%20weather/dmeliy86w2nwr.cloudfront.net/assets/marketing-26c3fbfd03ebe116a16e72d14b8bcde137f47f9ff191c157d2b4287ff4820aad.js	(from https://helloweatherapp.com/)
23:14:39	5279/5279	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2017:44:41%20GMT	https://use.typekit.net/dde2qbd.css	C:/My%20Web%20Sites/hello%20weather/use.typekit.net/dde2qbd.css	(from https://helloweatherapp.com/)
23:14:39	12794/12794	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Apr%202018%2003:30:49%20GMT	https://dmeliy86w2nwr.cloudfront.net/assets/marketing/hw-icon-192-15607b9c40af775c450345507e4bdb6f6ea6cc8a967fcc6e47453171632fccf5.png	C:/My%20Web%20Sites/hello%20weather/dmeliy86w2nwr.cloudfront.net/assets/marketing/hw-icon-192-15607b9c40af775c450345507e4bdb6f6ea6cc8a967fcc6e47453171632fccf5.png	(from https://helloweatherapp.com/)
23:14:40	5678/5678	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2017:44:42%20GMT	https://helloweatherapp.com/contact	C:/My%20Web%20Sites/hello%20weather/helloweatherapp.com/contact.html	(from https://helloweatherapp.com/)
23:14:40	8273/8273	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2017:44:42%20GMT	https://helloweatherapp.com/about	C:/My%20Web%20Sites/hello%20weather/helloweatherapp.com/about.html	(from https://helloweatherapp.com/)
23:14:40	210194/210194	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Apr%202018%2003:30:49%20GMT	https://dmeliy86w2nwr.cloudfront.net/assets/marketing/home-hero-63bb01c8f8636cb612f0fc75ee249e642d22fc1c437e70e82ecc3fa59b39dcac.jpg	C:/My%20Web%20Sites/hello%20weather/dmeliy86w2nwr.cloudfront.net/assets/marketing/home-hero-63bb01c8f8636cb612f0fc75ee249e642d22fc1c437e70e82ecc3fa59b39dcac.jpg	(from https://helloweatherapp.com/)
23:14:40	5455/5455	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Apr%202018%2003:30:49%20GMT	https://dmeliy86w2nwr.cloudfront.net/assets/marketing/app-store@2x-2e3c180c0e49857bffaa2642589d7bd5c83378436530d33ef507069788f210ac.png	C:/My%20Web%20Sites/hello%20weather/dmeliy86w2nwr.cloudfront.net/assets/marketing/app-store@2x-2e3c180c0e49857bffaa2642589d7bd5c83378436530d33ef507069788f210ac.png	(from https://helloweatherapp.com/)
